RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3
NZ_CP007542,Synechocystis sp. PCC 6714,"Bacteria, Cyanobacteria, Synechococcales, Merismopediaceae, Synechocystis","(1945709.0, 1946024.0)",,,
NZ_CP007633,Thermotoga sp. RQ7,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(816027.0, 816571.0)",,,
NZ_CP007753,Prochlorococcus sp. MIT 0604,"Bacteria, Cyanobacteria, Synechococcales, Prochloraceae, Prochlorococcus","(1779893.0, 168.0)",,,
NZ_CP009471,Marinitoga sp. 1137,"Bacteria, Thermotogae, Petrotogales, Petrotogaceae, Marinitoga","(1271871.0, 1272147.0)",,,
NZ_CP010967,Thermotoga maritima strain Tma200,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(156961.0, 157517.0)",,,
NZ_CP011107,Thermotoga maritima MSB8,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(156961.0, 157517.0)",,,
NZ_CP011108,Thermotoga maritima strain Tma100,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(156961.0, 157517.0)",,,
NZ_CP011232,Kosmotoga pacifica strain SLHLJ1,"Bacteria, Thermotogae, Kosmotogales, Kosmotogaceae, Kosmotoga","(1353739.0, 1354453.0)",,,
NZ_CP018091,Synechococcus sp. SynAce01,"Bacteria, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus","(1311135.0, 1311739.0)",,,
NZ_CP018092,Synechococcus lividus PCC 6715 chromosome,"Bacteria, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus","(2463842.0, 2464526.0)",,,
NZ_CP020771,Microcystis aeruginosa PCC 7806SL chromosome,"Bacteria, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Microcystaceae, Microcystis","(3021708.0, 3022171.0)",,,
NZ_LN824141,Defluviitoga tunisiensis genome assembly DTL3,"Bacteria, Thermotogae, Petrotogales, Petrotogaceae, Defluviitoga","(2035843.0, 2036854.0)",,,
NZ_LN847356,Synechococcus sp. WH 8103 genome assembly WH8103.1,"Bacteria, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus","(2429428.0, 173.0)",,,
NZ_LT578417,Cyanobium sp. NIES-981 strain NIES-981 genome assembly,"Bacteria, Cyanobacteria, Synechococcales, Synechococcaceae, Cyanobium","(2209379.0, 2209837.0)",,,
NC_000918,Aquifex aeolicus VF5,"Bacteria, Aquificae, Aquificales, Aquificaceae, Aquifex","(166842.0, 167585.0)",,,
NC_009901,Shewanella pealeana ATCC 700345 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(5165130.0, 5165586.0)",,,
NC_018012,Thiocystis violascens DSM 198 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thiocystis","(3124868.0, 3126845.0)",,,
NC_022541,Xanthomonas fuscans subsp. fuscans str. 4834-R,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(2707.0, 3739.0)",,,
NZ_CP006704,Comamonas testosteroni TK102,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Comamonas","(31856.0, 33321.0)",,,
NZ_CP011160,Xanthomonas fuscans subsp. aurantifolii strain FDC 1559,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(4003.0, 4967.0)",,,
NZ_CP011163,Xanthomonas fuscans subsp. aurantifolii strain FDC 1609,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(4003.0, 4967.0)",,,
NZ_CP012939,Ralstonia solanacearum strain UW163,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia","(881356.0, 881937.0)",,,
NZ_CP012943,Ralstonia solanacearum strain IBSBF1503,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia","(2089404.0, 2089985.0)",,,
NZ_CP016278,Diaphorobacter polyhydroxybutyrativorans strain SL-205 chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Diaphorobacter","(3217448.0, 3217785.0)",,,
NZ_CP023687,Acidovorax citrulli strain KACC17005 chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax","(4527777.0, 4528687.0)",,,
NZ_LN879547,Comamonas testosteroni P19 genome assembly Comamonas testosteroni P19,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Comamonas","(5142146.0, 5143612.0)",,,
NC_000964,Bacillus subtilis subsp. subtilis str. 168,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus","(4214414.0, 409.0)","(1751.0, 1938.0)",,
NC_002737,Streptococcus pyogenes M1 GAS,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1852441.0, 231.0)","(1588.0, 1741.0)",,
NC_002745,Staphylococcus aureus subsp. aureus N315,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2814603.0, 516.0)","(1879.0, 2155.0)",,
NC_002758,Staphylococcus aureus subsp. aureus Mu50,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2878316.0, 516.0)","(1879.0, 2155.0)",,
NC_002932,Chlorobium tepidum TLS,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum","(2880.0, 3284.0)","(1127.0, 1397.0)",,
NC_002935,Corynebacterium diphtheriae NCTC 13129,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(2487712.0, 18.0)","(1678.0, 2285.0)",,
NC_002939,Geobacter sulfurreducens PCA,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter","(3813333.0, 29.0)","(1368.0, 1593.0)",,
NC_002951,Staphylococcus aureus subsp. aureus COL,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2809236.0, 543.0)","(1906.0, 2182.0)",,
NC_002952,Staphylococcus aureus subsp. aureus MRSA252,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2902406.0, 516.0)","(1879.0, 2155.0)",,
NC_002953,Staphylococcus aureus subsp. aureus MSSA476,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2799589.0, 516.0)","(1879.0, 2155.0)",,
NC_002973,Listeria monocytogenes str. 4b F2365,"Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria","(2905001.0, 318.0)","(1675.0, 1867.0)",,
NC_002976,Staphylococcus epidermidis RP62A,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2616332.0, 539.0)","(2614667.0, 2614975.0)",,
NC_003028,Streptococcus pneumoniae TIGR4,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2160822.0, 196.0)","(1559.0, 1716.0)",,
NC_003030,Clostridium acetobutylicum ATCC 824,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3940782.0, 466.0)","(1808.0, 2063.0)",,
NC_003098,Streptococcus pneumoniae R6,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2038404.0, 2038615.0)","(1363.0, 1520.0)",,
NC_003210,Listeria monocytogenes EGD-e,"Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria","(2944342.0, 317.0)","(1674.0, 1866.0)",,
NC_003212,Listeria innocua Clip11262,"Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria","(3011021.0, 318.0)","(1675.0, 1867.0)",,
NC_003366,Clostridium perfringens str. 13,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3030810.0, 409.0)","(1784.0, 2077.0)",,
NC_003450,Corynebacterium glutamicum ATCC 13032,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(3308554.0, 3309401.0)","(1576.0, 2291.0)",,
NC_003485,Streptococcus pyogenes MGAS8232,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1895017.0, 201.0)","(1558.0, 1708.0)",,
NC_003869,Thermoanaerobacter tengcongensis MB4,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacteriales, Thermoanaerobacteriaceae, Thermoanaerobacter","(2689326.0, 364.0)","(1697.0, 1933.0)",,
NC_003909,Bacillus cereus ATCC 10987,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5224126.0, 407.0)","(1749.0, 1926.0)",,
NC_003923,Staphylococcus aureus subsp. aureus MW2,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2820249.0, 516.0)","(1879.0, 2155.0)",,
NC_003997,Bacillus anthracis str. Ames,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5227136.0, 406.0)","(1748.0, 1925.0)",,
NC_004070,Streptococcus pyogenes MGAS315,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1900521.0, 231.0)","(1588.0, 1741.0)",,
NC_004116,Streptococcus agalactiae 2603V/R,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2160171.0, 101.0)","(1464.0, 1617.0)",,
NC_004193,Oceanobacillus iheyensis HTE831,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Oceanobacillus","(3630058.0, 299.0)","(1644.0, 1829.0)",,
NC_004350,Streptococcus mutans UA159,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2030914.0, 193.0)","(1553.0, 1707.0)",,
NC_004368,Streptococcus agalactiae NEM316,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2211463.0, 175.0)","(1538.0, 1691.0)",,
NC_004461,Staphylococcus epidermidis ATCC 12228,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2498918.0, 361.0)","(1718.0, 2025.0)",,
NC_004557,Clostridium tetani E88,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(52254.0, 53835.0)","(50965.0, 51224.0)",,
NC_004567,Lactobacillus plantarum WCFS1,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(3307775.0, 3308274.0)","(1369.0, 1545.0)",,
NC_004606,Streptococcus pyogenes SSI-1,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1894275.0, 231.0)","(1588.0, 1741.0)",,
NC_004668,Enterococcus faecalis V583,"Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Enterococcus","(3217568.0, 58.0)","(1403.0, 1603.0)",,
NC_004722,Bacillus cereus ATCC 14579,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5411528.0, 280.0)","(1622.0, 1799.0)",,
NC_005945,Bacillus anthracis str. Sterne,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5228507.0, 407.0)","(1749.0, 1926.0)",,
NC_005957,Bacillus thuringiensis serovar konkukian str. 97-27,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5237315.0, 408.0)","(1750.0, 1927.0)",,
NC_006086,Streptococcus pyogenes MGAS10394,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1899877.0, 201.0)","(1558.0, 1711.0)",,
NC_006087,Leifsonia xyli subsp. xyli str. CTCB07,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Leifsonia","(2583937.0, 224.0)","(1647.0, 2082.0)",,
NC_006177,Symbiobacterium thermophilum IAM 14863,"Bacteria, Actinobacteria, Symbiobacterium","(3565701.0, 3566135.0)","(1378.0, 1599.0)",,
NC_006270,Bacillus licheniformis ATCC 14580,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus","(4222202.0, 506.0)","(1848.0, 2023.0)",,
NC_006274,Bacillus cereus E33L,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5300758.0, 407.0)","(1749.0, 1926.0)",,
NC_006322,Bacillus licheniformis ATCC 14580,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus","(4222317.0, 310.0)","(1652.0, 1827.0)",,
NC_006448,Streptococcus thermophilus LMG 18311,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1796793.0, 185.0)","(1551.0, 1704.0)",,
NC_006449,Streptococcus thermophilus CNRZ1066,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1796173.0, 185.0)","(1551.0, 1704.0)",,
NC_006361,Nocardia farcinica IFM 10152,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Nocardiaceae, Nocardia","(6020624.0, 6021225.0)","(1990.0, 2845.0)",,
NC_006510,Geobacillus kaustophilus HTA426,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus","(3544386.0, 87.0)","(1441.0, 1612.0)",,
NC_006582,Bacillus clausii KSM-K16,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus","(4303524.0, 182.0)","(1539.0, 1707.0)",,
NC_007164,Corynebacterium jeikeium K411,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(2461793.0, 2462499.0)","(1753.0, 2368.0)",,
NC_007168,Staphylococcus haemolyticus JCSC1435,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2684845.0, 507.0)","(1864.0, 2163.0)",,
NC_007296,Streptococcus pyogenes MGAS6180,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1897543.0, 201.0)","(1558.0, 1711.0)",,
NC_007297,Streptococcus pyogenes MGAS5005,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1838524.0, 201.0)","(1558.0, 1711.0)",,
NC_007333,Thermobifida fusca YX,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptosporangineae, Nocardiopsaceae, Thermobifida","(3641656.0, 194.0)","(2043.0, 2823.0)",,
NC_007350,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2516353.0, 508.0)","(1877.0, 2123.0)",,
NC_007432,Streptococcus agalactiae A909,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2127732.0, 100.0)","(1463.0, 1616.0)",,
NC_007503,Carboxydothermus hydrogenoformans Z-2901,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Carboxydothermus","(2401302.0, 224.0)","(2399734.0, 2399936.0)",,
NC_007514,Chlorobium chlorochromatii CaD3,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium","(2571845.0, 345.0)","(1825.0, 2112.0)",,
NC_007530,Bacillus anthracis str. 'Ames Ancestor',"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5227262.0, 406.0)","(1748.0, 1925.0)",,
NC_007576,Lactobacillus sakei subsp. sakei 23K,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1884300.0, 209.0)","(1557.0, 1733.0)",,
NC_007622,Staphylococcus aureus RF122,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2742318.0, 516.0)","(1879.0, 2155.0)",,
NC_007793,Staphylococcus aureus subsp. aureus USA300,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2872583.0, 543.0)","(1906.0, 2182.0)",,
NC_007795,Staphylococcus aureus subsp. aureus NCTC 8325,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2821148.0, 516.0)","(1879.0, 2155.0)",,
NC_007907,Desulfitobacterium hafniense Y51,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfitobacterium","(5727180.0, 5727534.0)","(1351.0, 1551.0)",,
NC_007929,Lactobacillus salivarius subsp. salivarius UCC118,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1826625.0, 1827111.0)","(1366.0, 1531.0)",,
NC_006085,Propionibacterium acnes KPA171202,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Propionibacterium","(2560151.0, 244.0)","(1748.0, 1867.0)",,
NC_007644,Moorella thermoacetica ATCC 39073,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacteriales, Thermoanaerobacteriaceae, Moorella group, Moorella","(1779.0, 1893.0)","(228.0, 449.0)",,
NC_008021,Streptococcus pyogenes MGAS9429,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1836437.0, 201.0)","(1558.0, 1711.0)",,
NC_008022,Streptococcus pyogenes MGAS10270,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1928222.0, 201.0)","(1558.0, 1711.0)",,
NC_008023,Streptococcus pyogenes MGAS2096,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1860325.0, 201.0)","(1558.0, 1711.0)",,
NC_008024,Streptococcus pyogenes MGAS10750,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1937081.0, 201.0)","(1558.0, 1711.0)",,
NC_008261,Clostridium perfringens ATCC 13124,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3256064.0, 410.0)","(1785.0, 2078.0)",,
NC_008262,Clostridium perfringens SM101,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(2896605.0, 235.0)","(1610.0, 1902.0)",,
NC_008497,Lactobacillus brevis ATCC 367,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(2290796.0, 112.0)","(1472.0, 1741.0)",,
NC_008526,Lactobacillus casei ATCC 334,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(2894537.0, 80.0)","(1431.0, 1602.0)",,
NC_008527,Lactococcus lactis subsp. cremoris SK11,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Lactococcus","(2438566.0, 143.0)","(1509.0, 1664.0)",,
NC_008532,Streptococcus thermophilus LMD-9,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1856231.0, 100.0)","(1466.0, 1619.0)",,
NC_008533,Streptococcus pneumoniae D39,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2045904.0, 2046115.0)","(1363.0, 1520.0)",,
NC_008435,Rhodopseudomonas palustris BisA53,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Rhodopseudomonas","(424516.0, 424978.0)","(422492.0, 422646.0)",,
NC_008541,Arthrobacter sp. FB24 chromosome 1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Arthrobacter","(4698486.0, 4.0)","(1430.0, 1964.0)",,
NC_008555,Listeria welshimeri serovar 6b str. SLCC5334,"Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria","(2813944.0, 317.0)","(1674.0, 1866.0)",,
NC_008578,Acidothermus cellulolyticus 11B,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Acidothermaceae, Acidothermus","(2443053.0, 74.0)","(1518.0, 1920.0)",,
NC_008593,Clostridium novyi NT,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(2547494.0, 334.0)","(2545890.0, 2546146.0)",,
NC_008600,Bacillus thuringiensis str. Al Hakam,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(5256735.0, 350.0)","(1749.0, 1926.0)",,
NC_008618,Bifidobacterium adolescentis ATCC 15703,"Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(2089376.0, 2089645.0)","(1501.0, 1996.0)",,
NC_008595,Mycobacterium avium 104,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium avium complex (MAC)","(5474887.0, 32.0)","(1530.0, 2149.0)",,
NC_008596,Mycobacterium smegmatis str. MC2 155,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium","(6988115.0, 498.0)","(6986087.0, 6986599.0)",,
NC_008699,Nocardioides sp. JS614,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Nocardioidaceae, Nocardioides","(4985410.0, 71.0)","(1659.0, 2028.0)",,
NC_008711,Arthrobacter aurescens TC1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Arthrobacter","(4597222.0, 4597686.0)","(1420.0, 1994.0)",,
NC_008781,Polaromonas naphthalenivorans CJ2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Polaromonas","(4404248.0, 4404521.0)","(4402065.0, 4402849.0)",,
NC_008571,Gramella forsetii KT0803,"Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Flavobacteriaceae, Gramella","(3460597.0, 3460635.0)","(3458688.0, 3458724.0)",,
NC_008705,Mycobacterium sp. KMS,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium","(7423.0, 7983.0)","(5382.0, 5934.0)",,
NC_008726,Mycobacterium vanbaalenii PYR-1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium","(6491516.0, 248.0)","(1734.0, 2308.0)",,
NC_008769,Mycobacterium bovis BCG str. Pasteur 1173P2,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex","(31192.0, 31718.0)","(1525.0, 2051.0)",,
NC_009004,Lactococcus lactis subsp. cremoris MG1363,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Lactococcus","(2529177.0, 2529478.0)","(1366.0, 1521.0)",,
NC_009009,Streptococcus sanguinis SK36,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1.0, 213.0)","(1567.0, 1724.0)",,
NC_008825,Methylibium petroleiphilum PM1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Methylibium","(4044058.0, 185.0)","(1590.0, 1823.0)",,
NC_009253,Desulfotomaculum reducens MI-1,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum","(3608086.0, 364.0)","(1691.0, 1922.0)",,
NC_009328,Geobacillus thermodenitrificans NG80-2,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus","(3550053.0, 208.0)","(1562.0, 1732.0)",,
NC_009332,Streptococcus pyogenes str. Manfredo,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1841271.0, 201.0)","(1558.0, 1711.0)",,
NC_009348,Aeromonas salmonicida subsp. salmonicida A449,"Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas","(4667292.0, 4667675.0)","(4666333.0, 4666841.0)",,
NC_009379,Polynucleobacter sp. QLW-P1DMWA-1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Polynucleobacter","(2159301.0, 32.0)","(1461.0, 1723.0)",,
NC_009437,Caldicellulosiruptor saccharolyticus DSM 8903,"Bacteria, Firmicutes, Clostridia, Clostridiales, Syntrophomonadaceae, Caldicellulosiruptor","(2970163.0, 641.0)","(2007.0, 2226.0)",,
NC_009442,Streptococcus suis 05ZYH33,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2096108.0, 2096309.0)","(1375.0, 1527.0)",,
NC_009443,Streptococcus suis 98HAH33,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(2095497.0, 2095698.0)","(1375.0, 1527.0)",,
NC_009487,Staphylococcus aureus subsp. aureus JH9,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2906284.0, 571.0)","(1934.0, 2210.0)",,
NC_009495,Clostridium botulinum A str. ATCC 3502,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3886362.0, 3886916.0)","(1348.0, 1609.0)",,
NC_009513,Lactobacillus reuteri F275,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1999504.0, 380.0)","(1704.0, 1878.0)",,
NC_009483,Geobacter uraniumreducens Rf4,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter","(5136128.0, 45.0)","(1396.0, 1610.0)",,
NC_009525,Mycobacterium tuberculosis H37Ra,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex","(4419375.0, 4419977.0)","(1525.0, 2051.0)",,
NC_009617,Clostridium beijerinckii NCIMB 8052,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(6000414.0, 279.0)","(1630.0, 1890.0)",,
NC_009632,Staphylococcus aureus subsp. aureus JH1,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2906418.0, 640.0)","(2003.0, 2279.0)",,
NC_009633,Alkaliphilus metalliredigens QYMF,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Alkaliphilus","(4928949.0, 49.0)","(1397.0, 1628.0)",,
NC_009641,Staphylococcus aureus subsp. aureus str. Newman,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2878684.0, 516.0)","(1879.0, 2162.0)",,
NC_009674,Bacillus cereus subsp. cytotoxis NVH 391-98,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group","(4086981.0, 520.0)","(1862.0, 2042.0)",,
NC_009697,Clostridium botulinum A str. ATCC 19397,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3862896.0, 3863450.0)","(1348.0, 1609.0)",,
NC_009698,Clostridium botulinum A str. Hall,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3760006.0, 3760560.0)","(1348.0, 1609.0)",,
NC_009699,Clostridium botulinum F str. Langeland,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3994834.0, 3995387.0)","(1339.0, 1600.0)",,
NC_009706,Clostridium kluyveri DSM 555,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3964006.0, 3964618.0)","(1357.0, 1614.0)",,
NC_009565,Mycobacterium tuberculosis F11,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex","(4423934.0, 101.0)","(1626.0, 2152.0)",,
NC_009782,Staphylococcus aureus subsp. aureus Mu3,"Bacteria, Firmicutes, Bacillales, Staphylococcus","(2879955.0, 516.0)","(1879.0, 2155.0)",,
NC_009922,Alkaliphilus oremlandii OhILAs,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Alkaliphilus","(3122997.0, 48.0)","(1405.0, 1641.0)",,
